"Griliches Zvi-Krelle Wilhelm-Krupp Hans-Jürgen-Kyn Oldrich";;;"Income Distribution and Economic Inequality";;;;3.593.32218.8;333;Druckerzeugnis;0;Haupt-Bibliothek;"AH 165";Frankfurt;Campus;1978;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";0;found;;(DE-627)422900389
OECD;;;"Evaluating and Reforming Education Systems";;;;92-64-14779-9;83;Druckerzeugnis;0;Haupt-Bibliothek;"EJ 151";Paris;OECD;1996;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)194462986
"Ayer Chloé";;;"La transformation d'une société à responsabilité limitée en société anonyme";;;;3-7190-2065-7;203;Druckerzeugnis;"Etude selon le droit actuel et selon la loi sur la fusion";Haupt-Bibliothek;"PL 133";Basel;"Helbing & Lichtenhahn";2002;PL;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Gewinnsteuer der Kapitalgesellschaften";0;found;;(DE-627)1625074034
"de Silva K. E. A.";;;"Money Supply-Inflation and the Balance of Payments in Sri Lanka (1959-74)";;;;0.7146.3077.2;22-36;Druckerzeugnis;"In: Ayre P. C. I. (Hrsg.): Finance in Developing Countries";Haupt-Bibliothek;;London;"Frank Cass";;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;unsafe
"Tretner Carl Heinz";;;"Langfristige Planung von Staatsausgaben";;;;-;106;Druckerzeugnis;"Finanzwissenschaftliche Forschungsarbeiten, Heft 32";Haupt-Bibliothek;"VC 101";Berlin;"Duncker & Humblot";1965;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)1073587800
"Germann Raimund E.";;;"Experts et commissions de la Confédération";;;;2.88074.089.4;239;Druckerzeugnis;0;Haupt-Bibliothek;"EE 102";Lausanne;"Presses Polytechniques Romandes";1985;YL7;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";found;;(DE-627)1623154871
"Kirchgässner Gebhard";;;"Eine moderne Steuer- und Abgabenordnung für die Schweiz";;;;3-7253-0666-4;136;Druckerzeugnis;"Vorüberlegungen und Grundzüge";Haupt-Bibliothek;"JA 154";Chur;Rüegger;1999;JA;;;"Allgemeine Steuerrechtsliteratur";"Allgemeines, Lehrbücher";0;found;;(DE-627)306466929
"Giscard d'Estaing Valériy M.";;;"Le Bulletin de l'économie et des finances";;;;"4 071003 5";186;Druckerzeugnis;"Nr. 67, Juillet-Septembre 1974";Haupt-Bibliothek;"EA 145";Paris;"Imprimerie Nationale";1974;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
"Völlmin Dieter";;;"Grundrechtsschutz bei inflationsverzerrtem Steuerrecht";;;;"3 7190 1014 7";233;Druckerzeugnis;0;Haupt-Bibliothek;"JD 142";Basel;"Helbing & Lichtenhahn";1988;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;found;;(DE-627)272362883
"Huber Wolf";;;"Gemeindeabgaben und kommunale Wirtschaftsstrutur";"Ein Beitrag zur kommunalen Finanzstatistik";;;0;17-;Druckerzeugnis;"in: WIST Inf.Nr. 46 September 1979";Separata;"EC Sep. 08";;;1979;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";notfound
"Gross Volker";;;"Das Anstellungsverhältnis des GmbH-Geschäftsführers im Zivil--Arbeits--Sozialversicherungs- und Steuerrecht";;;;0;421;Druckerzeugnis;"Rechtsfragen der Handelsgesellschaften, Heft 53";Haupt-Bibliothek;"PL 318";Köln;"Otto Schmidt";1987;PL;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Gewinnsteuer der Kapitalgesellschaften";0;found;;(DE-627)021610754
"Letsch Hans";;;"Finanz- und Steuerpolitik im schweizerischen Bundesstaat";;;;0;57-79;Druckerzeugnis;"Referat, gehalten am 4.12.84 an der HSG";Separata;"AK Sep. 436";;;1985;YR;;;Wirtschaftswissenschaften;"Gewerbepolitik. Einzelne Wirtschaftszweige";0;found;;(DE-627)470306041
"Felix Günther";"Korn Klaus";"Söffing Günter";"Einkommensteuer-Forum 1985";;;;0;106;Druckerzeugnis;"Kölner Steuer-Arbeitsunterlagen, Einkommensteuer, Bd. 4";Haupt-Bibliothek;"PE 0173";Köln;"Arbeitskreis für Steuerrecht";1985;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-604)BV006030659
"Harris Lowell C.";"Labovitz I. M.";;"Federal-State-Local Fiscal Relationships";;;;0;489;Druckerzeugnis;"Symposium conducted by the Tax Institute of America";Haupt-Bibliothek;"CA 137";Princeton;"Tax Institute of America";1968;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";found;;(DE-627)195413636
"Stadler Markus";;;"Inflation-Stagflation und Vermögensanlagen";;;;0;298;Druckerzeugnis;"Dissertation der HSG, Nr. 704, 1978";Haupt-Bibliothek;"AK 0271";Winterthur;"Verlag Hans Schellenberg";1978;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-627)1102715409
"Littmann Konrad";;;"Haushaltnotlagen als Anspruchsgrundlage für Bundesergänzungszuweisungen";;;;3.16.145648.3;307-321;Druckerzeugnis;"In: Bea Franz Xaver/Kitterer Wolfgang (Hrsg.): Finanzwissenschaft im Dienste der Wirtschaftspolitik";Haupt-Bibliothek;;Tübingen;"J.C.B. Mohr";1990;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;notfound
"Natsch Walther Johannes";;;"Instrumente der Regionalplanung";;;;0;182;Druckerzeugnis;"unter besonderer Berücksichtigung des zürcherischen Rechts";Haupt-Bibliothek;"AJ 106";Zürich;"Schulthess & Co. AG";1964;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)107740624X
OECD;;;"Higher Education Management Vol.4/No.2";;;;92-64-13759-9;127-260;Druckerzeugnis;"Journal of the Programme on Institutional Management in higher Education";Haupt-Bibliothek;"EJ 102 4 2";Paris;OECD;1992;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
"Jacobs Otto H.";;;"Internationale Unternehmensbesteuerung";;;;"3 406 34418 6";806;Druckerzeugnis;"Handbuch zur Besteuerung deutscher Unternehmen mit Auslandsbeziehungen - 2. A.";Haupt-Bibliothek;"LD 135 2";München;"C.H. Beck";1991;LD;;;"Interkantonales/Internationales Steuerrecht";Deutschland;0;found;;(DE-627)027062015
"Socher Karl";;;"Koordination des Einsatzes geld- und finanzpolitischer Instrumente";;;;3.428.02528.8;140;Druckerzeugnis;0;Haupt-Bibliothek;"AK 0236";Berlin;"Duncker & Humblot";1971;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-627)022132767
"Goldberg Samuel";;;"Differenzengleichungen und ihre Anwendung in Wirtschaftswissenschaft-Psychologie und Soziologie";;;;0;353;Druckerzeugnis;0;Haupt-Bibliothek;"AE 120";München;"Oldenburg Verlag";1968;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";0;found;;(DE-605)TT000892366
"St.Galler Zentrum für Zukunftsforschung";;;"Entwicklungsperspektiven des Endenergiebedarfs";"Eingriffslose Entwicklung";;;0;"101 + 66 Anhang";Druckerzeugnis;0;Haupt-Bibliothek;"AG 297";Bern;EDMZ;1978;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;notfound
"Stettler Alfred-u.a.";;;"Information financière et offres publiques d'achat";;;;0;39;Druckerzeugnis;"Actes de la séance de clôture du séminaire d'expertise comptable 1989";Haupt-Bibliothek;"BB 123";Lausanne;"Ecole des HEC";1989;YL1;YR;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Gewerbepolitik. Einzelne Wirtschaftszweige";Allgemeines;notfound
"Esdar Bernd";;;"Kooperation in der Einkommenspolitik";;;;3.16.342841.X;204;Druckerzeugnis;"Eine empirische Untersuchung einkommenspolitischer Massnahmen in ausgewählten Ländern Europas";Haupt-Bibliothek;"AH 181";Tübingen;"J.C.B. Mohr";1980;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";0;found;;(DE-627)014988917
IFF;;;"Intensivkurs im Steuerrecht";"19.-23.10.1987 und 11.-15.4.1988";;;-;;Druckerzeugnis;Kursunterlagen;Haupt-Bibliothek;"JA 131";"St. Gallen";IFF;1988;JA;;;"Allgemeine Steuerrechtsliteratur";"Allgemeines, Lehrbücher";0;notfound
"Andreae Clemens-August";;;"Handbuch der österreichischen Finanzwirtschaft";;;;0;304;Druckerzeugnis;0;Haupt-Bibliothek;"AA 208";Innsbruck;Tyrolia;1970;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;found;;(DE-627)195507711
"Kuhn Michael";;;"Kompaktkommentar zum Doppelbesteuerungsabkommen (DBA) Deutschland-Schweiz";;;;3-906355-54-3;"101 + Anhang";Druckerzeugnis;"2. A.";Haupt-Bibliothek;"LD 153 2";Zürich;Handelskammer;1997;LD;;;"Interkantonales/Internationales Steuerrecht";Deutschland;0;found;;(DE-627)1603058354
"Reymond Jacques-André";;;"La fiscalité en désarroi ou Les chênes qu'on abat";;;;"3 258 04186 5";277-288;Druckerzeugnis;"In: Höhn, Ernst & Vallender, Klaus A., (Hrsg.): Steuerrecht im Rechtsstaat - Festschrift für Prof. Dr. Francis Cagianut zum 65. Geburtstag";Haupt-Bibliothek;;Bern;"Paul Haupt";;JB;;;"Allgemeine Steuerrechtsliteratur";"Festschriften, Sammelwerke, Bibliographien";0;notfound
"Auer Andreas";"Malinverni Giorgio";"Hottelier Michel";"Droit constitutionnel suisse";;;;3-7272-0996-8;738;Druckerzeugnis;"Volume II: Les droits fondamentaux";Haupt-Bibliothek;"WB 170 2";Bern;Stämpfli;2000;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-627)1152950371
"Reetz Norbert";;;"Kapitaleinsatz und Kapitaleinkommen im stationären Gleichgewicht bei temporaler Disaggregation des Kapitalstocks";;;;0;26;Druckerzeugnis;"Vortrag an der HSG, gehalten am 31. Mai 1978";Haupt-Bibliothek;"AK 1032";"St. Gallen";"Forschungsgemeinschaft für Nationalökonomie";1980;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;found;;(DE-627)1077941501
"Wassermeyer Franz";"Richter Stefan";"Schnittker Helder";"Personengesellschaften im Internationalen Steuerrecht";;;;978-3-504-26057-6;1391;Druckerzeugnis;"1. A.";"HB Steuerrecht";"LC 0935";Köln;"Otto Schmidt";2010;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)615937659
"Thieme Werner";;;"Der Haushaltsvollzug in der Verwaltungswissenschaft";;;;-;153-168;Druckerzeugnis;"In: Mäding-Heinrich: Haushaltsplanung - Haushaltsvollzug - Haushaltskontrolle";Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Hey Johanna";;;"Harmonisierung der Unternehmensbesteuerung in Europa";;;;3-504-64108-8;416;Druckerzeugnis;"Ein Vorschlag unter Auswertung des Ruding-Berichts und der US-amerikanischen 'integration debate' Steuerfragen der Wirtschaft, Bd. 7";Haupt-Bibliothek;"LC 6147";Köln;"Otto Schmidt";1997;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)25796469X
"Starrett David A.";;;"Foundations of Public Economics";;;;0.521.34256.2;291;Druckerzeugnis;0;Haupt-Bibliothek;"AA 325";Cambridge;"Cambridge University Press";1988;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;found;;(DE-627)025417959
"Fox Karl A.";;;"Intermediate Economic Statistics";;;;0;559;Druckerzeugnis;0;Haupt-Bibliothek;"AE 124";"New York";Wiley;1968;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";0;found;;(DE-627)1072659433
IFSt;;;"IFSt-Schrift 404";;;;3-89737-099-9;95;Druckerzeugnis;"Institut 'Finanzen und Steuern'";Haupt-Bibliothek;"Z 153 404";Bonn;"Institut Finanzen und Steuern";2003;Z;;;Zeitschriften;0;0;ignore
BIGA;;;"Kostenrechnung für Fachhochschulen";;;;0;41;Druckerzeugnis;"Ein Leitfaden des BIGA";Haupt-Bibliothek;"VF 140";Bern;BIGA;1997;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Schubert B.";"Hug C.";;"Landschaftsplanung (Sondernummer)";;;;0;"9 + 17 Pläne";Druckerzeugnis;0;Haupt-Bibliothek;"AJ 180";Zürich;ORL-Institut;1970;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-604)BV002243348
"Bachmann Otto";;;"Entwicklung und Stand der Notenbankpolitik in den Ländern des Gemeinsamen Marktes und Möglichkeiten einer zukünftigen Gestaltung";;;;0;134;Druckerzeugnis;"Dissertation der Uni Freiburg, 1968";Haupt-Bibliothek;"AK 0227";Frankfurt;Maschinenschrift;1968;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-627)23584649X
"Lüthi Daniel";;;"Die Unterkapitalisierung von Kapitalgesellschaften im internationalen Steuerrech";;;;"3 7272 9220 2";573-591;Druckerzeugnis;"In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger";Haupt-Bibliothek;;Bern;Stämpfli;;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;notfound
IFF;;;"Internationales Steuerseminar 2012";20./21.11.2012;;;-;;Druckerzeugnis;Kursunterlagen;Haupt-Bibliothek;"LC 6173 4";"St. Gallen";IFF;2012;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;notfound
"Spinner Bruno";"Maritz Daniel";;"EG-Kompatibilität des schweizerischen Wirtschaftsrechts";"Vom autonomen zum systematischen Nachvollzug";;;"3 7255 3887 5";127-138;Druckerzeugnis;"In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag";Haupt-Bibliothek;;Zürich;Schulthess;;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-627)114924271X
"Gornas Jürgen";;;"Grundzüge einer Verwaltungskostenrechnung";;;;3-7890-2659-X;241;Druckerzeugnis;"Die Kostenrechnung als Instrument zur Planung und Kontrolle der Wirtschaftlichkeit in der öffentlichen Verwaltung - Schriften zur öffentlichen Verwaltung und öffentlichen Wirtschaft, Bd. 13";Haupt-Bibliothek;"VF 125";Baden-Baden;Nomos;1992;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)027084221
"World Health Organization";;;"Evonomic research into health serv";;;;92.890.1218.8;36;Druckerzeugnis;"Report on a WHO-Workshop";Separata;"X Sep. 04";Copenhagen;WHO-Office;1981;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;unsafe
"Parry Robert W.";"Sharp Florence C.";"Vreeland Jannet";"Fire Department Programs";;;;0910065-44-6;86;Druckerzeugnis;"Service Efforts and Accomplishments Reporting: Its Time Has Come";Haupt-Bibliothek;"VE 180 09";Norwalk;GASB;1991;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Scherer Josef";;;"Die Wirtschaftsverfassung der EWG";;;;3.7890.0014.0;205;Druckerzeugnis;"Europäische Wirtschaft";Haupt-Bibliothek;"FB 114";Baden;Nomos;1970;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";found;;(DE-627)027386724
OECD;;;"Investir dans le tiers monde";;;;92.64.21438.0;129;Druckerzeugnis;"3. A.";Haupt-Bibliothek;"AK 0535";Paris;OECD;1975;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;found;;(DE-627)1608953262
"Lüder Klaus";;;"Vergleichende Analyse öffentlicher Rechnungssysteme";;;;0179-2326;274;Druckerzeugnis;"Konzeptionelle Grundlagen für das staatliche Rechnungswesen mit besonderer Brücksichtigung der Bundesrepublik Deutschland - Speyerer Forschungsberichte, Bd. 97";Haupt-Bibliothek;"VF 121";Speyer;"Forschungsinstitut für öffentliche Verwaltung";1991;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-602)kobvindex_ZLB33357397
"Smith Bruce L. R.";"Caroll James D.";;"Improving the Accountability and Performance of Government";;;;0-8157-7793-3;123;Druckerzeugnis;0;Haupt-Bibliothek;"EA 199";Washington;"Brookings Institution";1982;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)021002444
"Arndt Klaus Dieter";;;Konjunkturpolitik;;;;-;73-133;Druckerzeugnis;"Zeitschrift für angewandte Konjunkturforschung, 14. Jg., 2. Heft 1968";Haupt-Bibliothek;"VC 109";Berlin;"Duncker & Humblot";1968;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";unsafe
"Sachverständigenrat zur Begutachtung der gesamtwirtschafltichen Entwicklung";;;"Jahresgutachten 1979/80";"Herausforderung von Aussen";;;3-17-003188-0;321;Druckerzeugnis;"Jahresgutachten 1979/80";Haupt-Bibliothek;"AG 201 16";Stuttgart;"Verlag W. Kohlhammer GmbH";1979;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;unsafe
"Leitner Roman";;;"Finanzstrafrecht 2012";;;;978-3-7073-2293-4;272;Druckerzeugnis;"FinStrG-Novelle 2010: Abgabenbetrug, Vortaten der Geldwäscherei, Sanktionensystem neu";Haupt-Bibliothek;"MH 147";Wien;Linde;2013;MH;;;"Verfahrensrecht und Steuerstrafrecht";"Allgemeines Steuerstrafrecht";0;found;;(DE-627)736575820
"Kolms Heinz";;;"Finanzwissenschaft IV";;;;3-11-006939-3;237;Druckerzeugnis;"Öffentlicher Kredit Öffentlicher Haushalt Finanzausgleich";Haupt-Bibliothek;"AA 120 IVa";Berlin;"Walter de Guyter & Co.";1976;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;found;;(DE-627)1603836608
"Schmidt Ludwig";;;Einkommensteuergesetz;Kommentar;;;"3 406 08663 2";1779;Druckerzeugnis;0;Haupt-Bibliothek;"KB 313 1";München;"C.H. Beck";1982;KB;;;"Ausländisches Steuerrecht";Deutschland;0;found;;(DE-627)024007072
"Ruppe Hans Georg";;;"Einführung zum EStG";;;;-;371;Druckerzeugnis;"Sonderdruck aus Herrmann/Heuer/Raupach- Kommentar zm EStG und KStG";Haupt-Bibliothek;"KB 304 01.1";Köln;"Otto Schmidt";1990;KB;;;"Ausländisches Steuerrecht";Deutschland;0;found;;(DE-627)592405400
"Möller Elke";;;"Die Chancengleichheit als Ziel der Bildungsplanung";;;;-;334-343;Druckerzeugnis;"In: Schäfers-Bernhard: Gesellschaftliche Planung";Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Kappeler Beat";;;"Zur sozialen Dimension des Binnenmarktprogramms";;;;3.906088.05.7;177-184;Druckerzeugnis;"In: Brauchlin Emil: EG 92 und die Schweiz: Unternehmerische Chancen und Risiken";Haupt-Bibliothek;;"St. Gallen";"FIM Forschungsstelle für Internationales Management";;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";notfound
"Ehrlicher Werner";;;"Kompendium der Volkswirtschaftslehre";;;;0;395;Druckerzeugnis;0;Haupt-Bibliothek;"AA 124 1";Göttingen;"Vandenhoeck & Ruprecht";1967;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;notfound
"Marshall A. H.";;;"Financial Management in Local Government";;;;"0 04 352050 2 Hardback 0 04 352051 0 Papercack";380;Druckerzeugnis;0;Haupt-Bibliothek;"EB 103";London;"George Allen & Unwin";1974;YL7;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";found;;(DE-627)020132107
"Schneider H. R.";;;"EDV-Lösungskonzepte in der Kommunalverwaltung";;;;0;4;Druckerzeugnis;Verwaltungspraxis;Separata;"EC Sep. 01";Solothurn;;1975;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";notfound
