"Oberson Raoul";"De quelques jurisprudences du Tribunal administratif de Genève en matière fiscale (1971-1976";"2 88033 001 7";613-652;Druckerzeugnis;"05.12.2003 08:19";"In: Association Henri Zwahlen pour le développement du droit administratif et du droit fiscal, (Hrsg.), Mélanges Henri Zwahlen - Recueil de travaux publiés à la mémoire du juge fédéral et professeur H. Zwahlen";Haupt-Bibliothek;-;Lausanne;"Imprimerie E. Ruckstuhl SA";-;;MA;;;"Verfahrensrecht und Steuerstrafrecht";"Allgemeines Verfahrensrecht";;export;0991237;479882142
"Klein L. R./Goldberger A. S.";"An Econometric Model of the United States 1929-1952";;159;Druckerzeugnis;01.12.2004;;Haupt-Bibliothek;"AE 138";Amsterdam;"North-Holland Publishing Company";1969;;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";;export;0991242;422928429
OCDE;"Dépenses fiscales - Problèmes et pratiques suivies par les pays";"92 64 22589 7";89;Druckerzeugnis;06.02.2004;;Haupt-Bibliothek;"KA 332";Paris;OCDE;1984;;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";;export;0991244;418152942
"Zweifel Martin";"Die rechtsstaatliche Ausgestaltung des Steuerhinterziehungsverfahrens vor Verwaltungsbehörden";"3 258 04186 5";223-242;Druckerzeugnis;"05.12.2003 08:19";"In: Höhn, Ernst & Vallender, Klaus A., (Hrsg.): Steuerrecht im Rechtsstaat - Festschrift für Prof. Dr. Francis Cagianut zum 65. Geburtstag";"HB Finanzwissenschaft";-;Bern/Stuttgart;"Paul Haupt";-;;M;MJ;;"Verfahrensrecht und Steuerstrafrecht";Steuerhinterziehung;;export;0991250;268691738
OECD;"Civil Service Pension Schemes";;124;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"EH 141";Paris;OECD;1997;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;reimport;0991251;51593139X
"Dornbusch Hans-Ludwig";"Das Sozialbudget der Bundesrepublik Deutschland";-;95;Druckerzeugnis;"05.12.2003 08:19";"- Westdeutscher Rückblick und gesamtdeutscher Ausblick - IFSt-Schrift 313";Haupt-Bibliothek;-;-;-;-;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;export;0991256;529014483
"Kenyon Daphne A./Kincaid John";"Competition among States and Local Governments";0-87766-517-6;285;Druckerzeugnis;"05.12.2003 08:19";"Efficiency and Equity in American Federalism";Haupt-Bibliothek;"AC 298";"Washinton, D.C.";"The Urban Insitute Press";1991;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;reimport;0991257;300065841
"Hey Johanna";Einkünfteermittlung;978-3-504-62036-3;424;Druckerzeugnis;"30.09.2011 16:42";"Deutsche Steuerjuristische Gesellschaft, Bd. 34 - 35. Jahrestagung der Deutschen Steuerjuristischen Gesellschaft e.V. Potsdam, 13. und 14. September 2010";Haupt-Bibliothek;"KB 119";Köln;"Verlag Dr. Otto Schmidt KG";2011;;KB;;;"Ausländisches Steuerrecht";Deutschland;;export;0991258;330207393
"Jarzyk-Dehne Friederike";"Pauschalierungen im Steuerrecht";3-428-11081-1;294;Druckerzeugnis;06.02.2004;"Schriften zum Steuerrecht- Band 77- hrsg. von Lang/Meincke";Haupt-Bibliothek;"KB 219";Berlin;"Duncker & Humblot GmbH";2003;;KB;;;"Ausländisches Steuerrecht";Deutschland;;reimport;0991259;515926612;;"Schriften zum Steuerrecht- Band 77- hrsg. von Lang/Meincke"
"Schwarz Heinrich";"Containergewichtsgebühr - eine praxiserprobte Alternative zur Sackgebühr";;22-27;Druckerzeugnis;22.04.2004;;Separata;"WD Sep. 21";;;1993;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;export;0991260;349383715
